element,type,confidence(%)
did patient reside in u.s. prior to most recent travel,Patient History,75.68235
principal reason for travel from/ to u.s. for most recent trip,Patient History,62.085842
was malaria chemoprophylaxis taken,History of the disease,66.61178
type of drug,Clinical Information,64.82419
was chemoprophylaxis taken as prescribed,Treatment/ Services referrals/ Case Diagnosis and Treatment,68.24339
reason for missing doses,Clinical Information,62.784218
history of malaria in last 12 months (prior to this report),History of the disease,75.54685
date of previous illness,Patient History,81.732
if yes species (check all that apply),Maternal and Neonatal (e.g. Listeria forms),58.432663
blood transfusion/organ transplant within last 12 months,Treatment/ Services referrals/ Case Diagnosis and Treatment,64.689026
clinical complications,Clinical Information,77.04122
was illness fatal,Illness in Mother and Infant,75.49277
therapy for this attack (check all that apply),Treatment/ Services referrals/ Case Diagnosis and Treatment,77.50802
person submitting report,Reporting Entity/Reporting Facility,72.55256
telephone no.,Partner Information,64.97832
affiliation,Administrative,69.82061
date submitted,Patient History,64.82251
classification,Comments,64.89292
please list all prescription and over the counter medicines the patient had taken during the 2 weeks before starting their treatment for malaria.,Clinical Information,73.68955
please list all prescription and over the counter medicines the patient had taken during the 4 weeks after starting their treatment for malaria.,Clinical Information,73.61694
was the medicine for malaria treatment taken as prescribed,History of the disease,67.33754
did all signs or symptoms of malaria resolve without any additional malaria treatment within 7 days after treatment start,Treatment/ Services referrals/ Case Diagnosis and Treatment,65.765854
if yes did the patient experience a recurrence of signs or symptoms of malaria during the 4 weeks after starting malaria treatment,Treatment/ Services referrals/ Case Diagnosis and Treatment,64.82694
did the patient experience any adverse events within 4 weeks after receiving the malaria treatment,Treatment/ Services referrals/ Case Diagnosis and Treatment,67.29899
event details*,Event,84.43442
case name,Case Information,86.188385
phone,Call logs,66.341896
medical chart no.,Clinical Information,76.37338
address,Partner Information,65.42753
"state, zip",Partner Information,61.43944
hospital name,Medical Encounters,72.740135
state case id,Case Information,83.343666
physician,Medical Encounters,79.18826
phone number,Partner Information,62.679733
investigator,Community Investigation,77.15075
netss id no. (mm/dd/yyyy),Call logs,65.29876
date reported (mm/dd/yyyy),Reporting Entity/Reporting Facility,62.089516
state of residence,Local Fields,64.938965
patient county of residence,Patient History,71.30253
age,Comments,59.58798
sex,Comments,66.737495
if patient pregnant,Illness in Mother and Infant,72.756386
country of birth,Case Information,62.051983
ethnicity,Community Investigation,64.273766
race,Event,69.50713
patient occupation,Medical Encounters,80.32312
disease presentation,History of the disease,75.05747
symptoms signs and associated diagnoses,Treatment/ Services referrals/ Case Diagnosis and Treatment,77.96428
was the case hospitalized because of this illness,Case Information,81.50346
is the case deceased,Case Information,79.24453
treatment and duration,Treatment/ Services referrals/ Case Diagnosis and Treatment,83.09888
type of treatment*,Treatment/ Services referrals/ Case Diagnosis and Treatment,79.99218
in the 6 months prior to illness onset did the case travel outside state of residence,Case Information,73.96117
travel details*,Partner Information,67.0806
have contact with animals,Medical Encounters,66.88517
birthing/animal products,Maternal and Neonatal (e.g. Listeria forms),70.602104
skinning/slaughter,Traditional Healer,64.76782
hunting,Surveillance Use Only,62.42803
other,Event,64.07744
who owns the animal(s),Partner Information,60.765923
consume unpasteurized dairy or undercooked meat,Maternal and Neonatal (e.g. Listeria forms),65.13761
milk,Nutritious / Food consumption,64.202995
fresh/soft cheese,Maternal and Neonatal (e.g. Listeria forms),61.56895
undercooked meat,Illness in Mother and Infant,58.997196
other,Event,64.07744
in what country was the product acquired,History of the disease,63.82332
have a link to a confirmed case,Case Information,78.731606
know of similar illness in contact,Illness in Mother and Infant,78.56804
who,Traditional Healer,62.545467
have an exposure to a brucella,History of the disease,67.90975
where did the exposure occur,Epidemiological/Exposure Factors/ Exposure/Source,77.30374
exposure risk status,Epidemiological/Exposure Factors/ Exposure/Source,70.01554
if exposed to vaccine indicate which,Epidemiological/Exposure Factors/ Exposure/Source,70.91075
receive post-exposure prophylaxis (pep),Epidemiological/Exposure Factors/ Exposure/Source,70.52538
if no. why not,Surveillance Use Only,56.38006
if yes did case complete course,Case Information,71.57438
case status,Case Information,86.99506
laboratory name,Laboratory Data,77.873215
city,Event,65.33524
state,Local Fields,62.370808
zip,,62.207527
received from,Weekly Follow-up,60.15409
city,Event,65.33524
state,Local Fields,62.3708
date received,Patient History,62.263756
agglutination test,Diagnostic Testing,74.03303
elisa,Traditional Healer,61.88153
date sample collected,Laboratory Data,69.02988
rose bengal,Traditional Healer,67.353745
coombs igg,Potential Vibrio vehicles,61.14518
other,Event,64.07744
pcr,Diagnostic Testing,74.1066
culture,Traditional Healer,67.015305
was the specimen for culture collected prior to antimicrobial therapy,Laboratory Data,70.81335
if culture positive was the identification of a select agent reported to cdc,Diagnostic Testing,71.82556
did a possible laboratory exposure occur,Laboratory Data,75.6171
if yes was it reported to cdc,History of the disease,69.2656
were specimens sent to cdc for testing,Laboratory Data,73.487785
is the specimen still available,Laboratory Data,65.135506
nndss case id,Case Information,78.26394
state id,Case Information,63.839783
date of birth,Patient History,64.33852
age,Comments,59.58798
race,Event,69.50713
ethnicity,Community Investigation,64.273766
if hispanic,Event,58.9575
residence at time of disease onset,History of the disease,71.60874
domestic,Administrative,65.59116
international,Local Fields,63.99759
large gatherings attended in the year before onset,History of the disease,69.4835
known epidemiologic link with any other meningococcal disease case,History of the disease,70.20532
was susceptibility testing done at the hospital state or other laboratory,Diagnostic Testing,75.65162
source of test data,Laboratory Data,81.97986
test method,Diagnostic Testing,79.58929
ceftriaxone,Treatment/ Services referrals/ Case Diagnosis and Treatment,64.264145
penicillin,Traditional Healer,64.278656
ciprofloxacin,Clinical Information,62.915073
rifampin,Traditional Healer,62.024593
other,Event,64.07744
β-lactamase phenotypic test,Laboratory Data,65.30616
what treatment was given,Treatment/ Services referrals/ Case Diagnosis and Treatment,78.336395
how many close contacts were given chemoprophylaxis,Medical Encounters,68.070946
what antibiotic was used and for how many contacts,Medical Encounters,71.45689
clinical presentation,Clinical Information,81.984634
hospitalized,Medical Encounters,70.81132
patient underlying conditions,Clinical Information,79.76616
sequelae,Event,62.308025
outcome,Event,70.561615
today's date,Event,64.04922
name,Case Information,63.117123
agency,Administrative,69.90124
telephone number,Partner Information,63.126873
email address,Partner Information,67.84187
other case notes,Case Information,84.70012
initial diagnosis,Diagnostic Testing,81.19873
case number,Case Information,89.05265
country,Community Investigation,62.057514
province/state,Case Information,63.791794
municipality,Community Investigation,68.95939
locality/neighborhood,Local Fields,74.21682
health service name,Medical Encounters,71.205536
health service telephone,Medical Encounters,68.600395
reported by,Reporting Entity/Reporting Facility,67.35337
date of consultation,Patient History,70.515305
date reported local,Local Fields,68.746574
date of home visit,Patient History,67.81236
date reported national,Weekly Follow-up,63.897545
detected by,Diagnostic Testing,69.63915
type of provider reporting,Reporting Entity/Reporting Facility,82.26041
patient’s first and last names,Patient History,77.70573
name of the mother or guardian,Illness in Mother and Infant,68.831024
address,Partner Information,65.42753
telephone,Call logs,68.34405
landmarks to locate the house,Local Fields,60.133224
patient’s occupation,Clinical Information,77.631424
work or school address,Administrative,66.435936
type of locality,Local Fields,76.30053
patient’s sex,Clinical Information,76.00541
patient's date of birth,Patient History,81.850586
if date of birth is unknown age,Patient History,59.68111
type of vaccine,Maternal and Neonatal (e.g. Listeria forms),65.84017
number of doses,Epidemiological/Exposure Factors/ Exposure/Source,66.29613
date of last dose,Patient History,70.83573
