element,members
residential village/town/city where symptom started,"Residential village/town/city where symptom started, Residential Village/Town/City where symptom started"
residential chiefdom/zone where symptoms started,"Residential Chiefdom/Zone where symptom started, Residential Chiefdom/Zone where symptoms started"
does the alert meet case definition for neonatal tetanus,Does the alert meet case definition for Neonatal Tetanus
date of conclusion (dd/mm/yyyy),"Date of conclusion (DD/MM/YYYY), Date of conclusion (dd/mm/yyyy)"
final diagnosis,"Final diagnosis, Final Diagnosis"
final patient vital status,"Final patient vital status, Final Patient Vital Status"
general comments,"General comments, General Comments"
area/sub district,"Area/Sub District, Area/sub district"
if not a guinea-worm disease please specify the final diagnosis,If not a Guinea-worm disease please specify the final diagnosis
"if imported case, type of importation","If imported case, type of importation"
if imported case. cross notification done,If imported case. Cross notification done
guinea worm infection details*,Guinea worm infection details*
frequency of changing filters,Frequency of changing filters
person who completed this form,Person who completed this form
date of reporting to national health authority,Date of reporting to national health authority
reporting institution,Reporting institution
detected at point of entry,Detected at point of entry
unique case identifier(barcode),Unique case identifier(barcode)
estimated age,Estimated age
sex at birth,"Sex at birth, Sex at Birth"
place where the case was diagnosed,Place where the case was diagnosed
patients usual place of residency,Patients usual place of residency
patient contact,Patient contact
phone number next of kin,Phone number next of kin
state of symptoms*,State of symptoms*
patient symptoms,Patient symptoms
patient signs,Patient signs
underlying conditions and comorbidity,Underlying conditions and comorbidity
admission to hospital,Admission to hospital
first date of admission to hospital,First date of admission to hospital
name of hospital,Name of hospital
patient isolated,Patient isolated
date of isolation,Date of isolation
was the patient ventilated,Was the patient ventilated
health status(circle) at time of reporting,Health status(circle) at time of reporting
has the patient travelled in the 14 days prior to symptom onset,Has the patient travelled in the 14 days prior to symptom onset
date of arrival in south sudan,Date of arrival in south sudan
has the patient visited any health care facility(ies) in the 14 days prior to symptom onset,Has the patient visited any health care facility(ies) in the 14 days prior to symptom onset
has the patient had close contact with a person with acute respiratory infection in the 14 days prior to symptoms onset,Has the patient had close contact with a person with acute respiratory infection in the 14 days prior to symptoms onset
close contact details*,Close contact details*
has the patient had close contact with a probable or confirmed case in the last 14 days prior to symptoms onset,Has the patient had close contact with a probable or confirmed case in the last 14 days prior to symptoms onset
have you visited any live animal markets in the 14 days prior to symptom onset,Have you visited any live animal markets in the 14 days prior to symptom onset
name of confirming laboratory,Name of confirming laboratory
date of specimen receipt,Date of specimen receipt
date of laboratory result,Date of laboratory result
please specify which assay was used,Please specify which assay was used
sequencing done,Sequencing done
relation to patient,Relation to Patient
date of the re submission of this report:,Date of the re submission of this report:
"if case was asymptomatic at time of specimen collection resulting in first laboratory confirmation, did the case develop any symptoms or signs at any time prior to discharge or death","If case was asymptomatic at time of specimen collection resulting in first laboratory confirmation, did the case develop any symptoms or signs at any time prior to discharge or death"
admission to hospital (may have been previously reported),Admission to hospital (may have been previously reported)
did the case receive care in an intensive care unit (icu),Did the case receive care in an intensive care unit (ICU)
did the case receive ventilation,Did the case receive ventilation
did the case receive extracorporeal membrane oxygenation,Did the case receive extracorporeal membrane oxygenation
health outcome,Health outcome
date of release from isolation/hospital or date of death,Date of release from isolation/hospital or date of death
